,Payment Method,Minutes range,Payments,Paying users,Disputing users
949,checkout_apple_pay,48,24.834,23804,488
950,checkout_apple_pay,48,25.233999999999998,23525,481
951,checkout_apple_pay,48,25.976,23320,476
952,checkout_apple_pay,48,26.241200000000003,22977,471
953,checkout_apple_pay,48,27.268900000000002,22694,468
954,checkout_apple_pay,48,27.86,22525,467
955,checkout_apple_pay,48,27.96,22284,464
956,checkout_apple_pay,48,28.06,21881,458
957,checkout_apple_pay,48,28.137,21352,453
958,checkout_apple_pay,48,28.323,21038,450
959,checkout_apple_pay,48,29.444,20756,445
960,checkout_apple_pay,48,30.285999999999998,20478,444
961,checkout_apple_pay,48,30.785999999999998,20250,441
962,checkout_apple_pay,48,31.727999999999998,19928,441
963,checkout_apple_pay,48,32.57,19696,436
964,checkout_apple_pay,48,32.67,19479,435
965,checkout_apple_pay,48,32.77,19094,431
966,checkout_apple_pay,48,33.4244,18818,430
967,checkout_apple_pay,48,35.020296,18539,425
968,checkout_apple_pay,48,35.958800000000025,18263,423
969,checkout_apple_pay,48,37.08,17998,420
970,checkout_apple_pay,48,37.370580000000004,17723,418
971,checkout_apple_pay,48,37.48,17525,417
972,checkout_apple_pay,48,37.716,16702,416
973,checkout_apple_pay,48,38.563900000000004,16329,411
974,checkout_apple_pay,48,40.006,16069,409
975,checkout_apple_pay,48,40.93858,15773,407
976,checkout_apple_pay,48,41.89,15555,407
977,checkout_apple_pay,48,42.1241605,15219,398
978,checkout_apple_pay,48,43.974,14945,394
979,checkout_apple_pay,48,45.757999999999996,14669,391
980,checkout_apple_pay,48,46.699999999999996,14428,386
