Segment,Matuirity,Condition 1,Condition 2,Condition 3,Condition 4,Condition 5,Disputer rate,Payers,Disputers,Payers_covered,Payers_covered_to_point,Disputes_covered,Disputes_covered_to_point
maturity_day > 14 & paying_matuirity > 14 & payments > 1,67.0,spent_to_date > 775.985,payments_last_7d ≤ 51.5,money_games_to_date ≤ 30949.5,local_time_12_to_18 > 12810.0,,0.07874015748031496,127.0,10.0,3.6734951252430434e-05,0.0058,0.00076,0.175
maturity_day < 14 & payments > 1,13.0,payments_last_7d > 5.5,spent_last_7d > 1157.0,max_daily_spent > 1049.985,local_time_12_to_18 ≤ 4519.0,,0.0782608695652174,115.0,9.0,3.326393223645276e-05,0.0058,0.00068,0.176
maturity_day > 14 & paying_matuirity > 14 & payments > 1,16.0,max_daily_spent > 284.995,spent_last_7d > 1401.495,money_games_last_7d > 5507.0,games_last_7d > 18799.0,,0.078125,128.0,10.0,3.702420283709524e-05,0.0059,0.00076,0.177
maturity_day > 14 & paying_matuirity > 14 & payments > 1,58.0,win_amount_last_14d > 172.405,max_daily_spent > 214.985,local_time_12_to_18 ≤ 12631.5,daily_games_first_1d ≤ 1099.86,max_games_daily_games > 3971.5,0.07777777777777778,90.0,7.0,2.6032642619832592e-05,0.0059,0.00053,0.177
maturity_day > 14 & paying_matuirity > 14 & payments > 1,69.0,spent_to_date > 781.49,win_amount_last_7d ≤ 2912.89,win_amount_last_14d ≤ 754.34,local_time_12_to_18 > 12839.5,,0.07777777777777778,90.0,7.0,2.6032642619832592e-05,0.0059,0.00053,0.178
maturity_day > 14 & paying_matuirity > 14 & payments > 1,22.0,spent_last_14d ≤ 166.5,payments_last_14d > 3.5,max_payment > 6.0,bet_money_to_date ≤ 266.2,games_last_7d > 894.0,0.07777777777777778,90.0,7.0,2.6032642619832592e-05,0.0059,0.00053,0.178
maturity_day > 14 & paying_matuirity > 14 & payments > 1,56.0,spent_to_date > 1243.495,daily_games_first_14d > 453.685,minutes_to_pay_since_first_game ≤ 8552.5,local_time_after_18 > 20703.0,spent_last_7d ≤ 810.5,0.07777777777777778,90.0,7.0,2.6032642619832592e-05,0.006,0.00053,0.179
maturity_day < 14 & payments > 1,11.0,payments_last_7d > 9.5,spent_last_7d > 1026.49,max_daily_spent ≤ 1662.5,max_bet > 19.0,daily_games_first_14d > 1372.44,0.07777777777777778,90.0,7.0,2.6032642619832592e-05,0.006,0.00053,0.179
maturity_day > 14 & paying_matuirity < 14 & payments > 1,16.0,payments_last_14d ≤ 26.5,spent_last_14d > 71.495,money_games_last_14d ≤ 3443.5,local_time_12_to_18 > 925.0,daily_games_first_1d > 506.86,0.07777777777777778,90.0,7.0,2.6032642619832592e-05,0.006,0.00053,0.18
maturity_day > 14 & paying_matuirity > 14 & payments > 1,40.0,payments_last_14d > 10.5,max_daily_spent > 730.995,win_amount_last_7d > 1882.975,win_amount_last_7d ≤ 13393.045,bet_money_to_date > 53401.0,0.07766990291262135,103.0,8.0,2.979291322047508e-05,0.0061,0.0006,0.18
